,Datetime,Tweet Id,Text,Sentiment
202,2021-08-13 23:38:07+00:00,1426327234093195269,@APompliano Pretty much,1.0
203,2021-08-13 22:58:50+00:00,1426317349062418441,@clarkmoody @jokoono Same,1.0
204,2021-08-13 21:23:08+00:00,1426293267306536969,"@samkazemian You’re sitting on it too long, Sam",1.0
205,2021-08-13 21:22:02+00:00,1426292988892885002,@elonmusk ❤️‍🔥,1.0
206,2021-08-13 20:44:03+00:00,1426283430652829699,Agree! A nym will have the greatest impact. https://t.co/mhk8577BfT,1.0
207,2021-08-13 16:49:04+00:00,1426224296586842113,@LegalDaVinci Not easy enough yet,1.0
208,2021-08-13 16:46:35+00:00,1426223669718700041,🙏 https://t.co/j1N6dInxI0,1.0
209,2021-08-13 02:09:12+00:00,1426002869585592330,@garrytan @thetrocro $mystery to the moon,1.0
210,2021-08-13 02:05:08+00:00,1426001843998576645,@Suhail @garrytan Elon and Satoshi were both super into Windows?!,1.0
211,2021-08-13 01:59:36+00:00,1426000451074408450,@timothy_skim @garrytan Def not in it for the money (I intend to give all mine away). I’m in it to help fix the money.,1.0
212,2021-08-13 01:49:11+00:00,1425997832201424911,@samkazemian @IOHK_Charles @APompliano Not trolling,1.0
213,2021-08-13 01:29:28+00:00,1425992871723905026,@tharogueone1 @BrainHarrington @FranBoll11 @cory_eth @santisiri I always have to,1.0
214,2021-08-13 01:28:08+00:00,1425992534619299845,@Thekkiidd @dogeofcoin @cory_eth @santisiri Not focused on lightning for NFT. Lightning to enable a currency for the internet.,1.0
215,2021-08-13 01:26:31+00:00,1425992128602288129,@CryptoSeaOtter @satoshiattorney @seyitaylor I agree with the spirit of NFTs. And I never said anything about Bitcoin and NFTs,1.0
216,2021-08-13 01:24:40+00:00,1425991659859451910,"@paulmillr @Chelsea_FC369 @MiguelCervera @iamDCinvestor @mdudas True bluesky has taken a long time. We decided to do research before hiring lead, all is public. Lead announcement next week. This is going to take time, as we said. 

The icons you mention were bought. It’s an ad product.",1.0
217,2021-08-13 00:21:16+00:00,1425975707105116170,@Chelsea_FC369 @MiguelCervera @iamDCinvestor @mdudas Nah. Working to decentralize both.,1.0
218,2021-08-13 00:20:20+00:00,1425975471259455492,@Viaware1 @AllisonReichel @APompliano What OS version?,1.0
219,2021-08-13 00:01:35+00:00,1425970753212665862,@AllisonReichel @APompliano False https://t.co/yBeaU0Dd3l,1.0
220,2021-08-12 23:57:34+00:00,1425969744256065543,"@MiguelCervera @iamDCinvestor @mdudas As have you on Bitcoin ;) decentralization isn’t an end goal tho, it’s just one method of fixing the money.",1.0
221,2021-08-12 23:50:16+00:00,1425967906806976514,@satoshiattorney @seyitaylor Not fighting your project. Was agreeing it wasn’t a good idea.,1.0
222,2021-08-12 23:47:28+00:00,1425967199186038791,@pt @seyitaylor I don’t believe any one company should “own” the NFT space.,1.0
223,2021-08-12 23:46:04+00:00,1425966846709223424,@dogeofcoin @cory_eth @santisiri It has value to lots of people. Just not what I’m focused on.,1.0
224,2021-08-12 23:45:10+00:00,1425966622771191811,"@FranBoll11 @cory_eth @santisiri Focus on one thing isn’t hate of the others. I’ve made my concerns known about others in comparison to Bitcoin. Key ones are founding principles, security, and centralization.",0.0
225,2021-08-12 23:42:39+00:00,1425965990538584065,@MiguelCervera @iamDCinvestor @mdudas A stretch to say I’m fixed on it,1.0
226,2021-08-12 23:34:26+00:00,1425963920272068613,"@iamDCinvestor @mdudas Focusing on the principles and structure behind any currency is what matters. Hence, for me, Bitcoin.",1.0
227,2021-08-12 22:30:39+00:00,1425947869568282624,⚡️ https://t.co/8jujGNdAig,1.0
228,2021-08-12 21:06:36+00:00,1425926717663809539,"@cory_eth @santisiri Disrupting “Big Tech” is exactly what’s needed and what I want.

No one technology alone will do that though.",1.0
229,2021-08-12 20:26:20+00:00,1425916582329528325,@iamDCinvestor @mdudas I’m focused on a native currency for the internet. That is all.,1.0
230,2021-08-12 18:56:14+00:00,1425893910728036359,"@seyitaylor Agreed.

Every account on Twitter being able to link to a Lightning wallet however…",0.0
231,2021-08-12 17:44:14+00:00,1425875791850745872,@lizzo @iamcardib All thanks to the team,1.0
232,2021-08-12 01:28:37+00:00,1425630267843268609,@udiWertheimer @0xTed Damn new font,1.0
233,2021-08-12 01:25:22+00:00,1425629448834109443,@0xTed @udiWertheimer There are no coincidences,1.0
234,2021-08-12 00:24:21+00:00,1425614093243846657,"I used @getvicarious to create and sync a list of all accounts I’m following, set that list to be reverse chron, named it “Latest” and pinned it, and now I can quickly swipe between ranked (algorithm) and all tweets as they happen

(inspired by an idea from team) https://t.co/ZfSg9pGeds",1.0
235,2021-08-12 00:12:45+00:00,1425611177095204867,@teamikon12 @zackvoell Might be your shift key,1.0
236,2021-08-12 00:09:16+00:00,1425610297465786369,@C40LF @sodadecounty @DocDre Sorry,1.0
237,2021-08-12 00:08:08+00:00,1425610015155572737,@sodadecounty @DocDre We started wack,1.0
