Datetime,Tweet Id,Text,Sentiment
2021-07-12 23:17:18+00:00,1414725583767052291,Ban the racists for life from all football matches in England. Please sign the petition and share. https://t.co/izwODFYwQY #England #EuroFinal #RacistScum #BlackLivesMatter,1.0
2021-07-12 23:17:01+00:00,1414725512539381763,"@blckinnon nao 
ELE CORTOU O CABELO Adore You Itália Inglaterra #Euro2020Final Argentina Futebol Sammy #ArgentinaVsBrazil Jogo Louis Tomlinson Harry Styles Dj Ivis nsfw Pyong Bolsonaro #TheVoiceKids
ASTRO IS COMING Capitã Marvel
https://t.co/ALXiOLyzFq",1.0
2021-07-12 23:16:27+00:00,1414725370809618437,"England fans climbing the Wembley fences. 
#ENG #ENGITL #Euro2020Final #euro2020 https://t.co/3mOvIgwXXC",1.0
2021-07-12 23:16:17+00:00,1414725328824639489,"UEFA Euro 2020 Team of the Tournament! 
Do you agree with all the names? 🧐

#Euro2020 #UefaEuro2020 #Euro2020Final @EURO2020 https://t.co/SBl4C8XFU5",1.0
2021-07-12 23:16:07+00:00,1414725285442883592,"Keep your head high @MarcusRashford we are behind You..

#MUFC #SaloneTwitter #EuroFinal https://t.co/XEKeerTwbS",1.0
2021-07-12 23:16:01+00:00,1414725261136998402,"Cose che mi fanno piangere moltissimo al momento: reazioni del resto d'Europa alla nostra vittoria + Berrettini adottato 🥺🥺🥺😭😭😭❤️❤️❤️
#Euro2020Final #ItaliaInghilterra #ItsComingRome",1.0
2021-07-12 23:16:01+00:00,1414725260251893762,"I still feel so sad for the boys over last nights result, but they’ll never quite understand just how proud we are of them 🦁 🏴󠁧󠁢󠁥󠁮󠁧󠁿 ⚽️ ❤️‍🔥 #heros #eng #Euro2020Final",1.0
2021-07-12 23:15:59+00:00,1414725252349894658,"England knows they are racist. They are the motherland of racism. They just hate talking about it and they hate when people remind them of how they got their wealth: Exploitation
#racism #racist #englandfans #racistengland #EuroFinal",2.0
2021-07-12 23:15:44+00:00,1414725190924345344,"@GianniJ08 @monicabarra29 Il simbolo di questa coppa ❤🤍💚

#Euro2020Final 
#campionideuropa https://t.co/SzJ6bCyHQd

Invece sbagli
Da tifoso napoletano ho eletto questa azione simbolo della coppa.",1.0
2021-07-12 23:15:31+00:00,1414725137513988100,Erm … did #flushedaway call what happened #Euro2020Final #conspiracy https://t.co/P0wpv20TMR,1.0
2021-07-12 23:14:58+00:00,1414724997415854086,@England players to donate #Euro2020Final prize money to the @NHS https://t.co/KWRfIpjKX5 via @Metro_Sport #RT,1.0
2021-07-12 23:13:47+00:00,1414724700895383552,"Raga mi è venuto un dubbio:
Ma il tipo inglese che si era tatuato sulla gamba la coppa, con rispettiva data, che fine ha fatto? Sono preoccupata
#ItaliaInghilterra
#tattoo
#Euro2020Final",0.0
2021-07-12 23:13:44+00:00,1414724685745491970,Chiesa mi inchino a te ma non per pregare #Euro2020Final https://t.co/DqQuoTv849,1.0
2021-07-12 23:13:40+00:00,1414724671648370689,"@7NewsAustralia at an all time low for this…cowards.
#Euro2020Final #euros https://t.co/UOnZZyW4sv",1.0
2021-07-12 23:13:36+00:00,1414724652321185792,@_DeclanRice @England We love you Declan. You and the boys played brilliantly last night. So proud 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #Euro2020Final,1.0
2021-07-12 23:13:35+00:00,1414724651322839050,Am I sad about @England not winning the #Euro2020Final? Yes. Do I blame those three for missing? No. All 26 players have done more than any other squad we have had in the past 55 years. They can all hold their heads hight. Every. Single. One.,2.0
2021-07-12 23:13:09+00:00,1414724541495005188,"Gareth Southgate veut rester à la tête de l'Angleterre
#EuroFinal https://t.co/pHQfZHFzPX",1.0
2021-07-12 23:13:01+00:00,1414724507160436742,"idc what anyone says, saka is and will always be an amazing football player.  he’s achieved so so so much at such a young age. the racists sitting behind screens couldn’t accomplish half of what he’s done, and he’s 19 !!!!!! #saka #Euro2020Final",2.0
2021-07-12 23:12:56+00:00,1414724487057137665,"@MarcusRashford You and Our England team should be proud.  Don’t let the keyboard idiots, drown out the amazing Euro 2020 you’ve given us. I and a lot of my fellow Man Utd supporters are proud.  Roll on next season for Utd and next year for the World Cup. #ManUtd #Euro2020Final",1.0
